nama_perusahaan,komoditas,satuan,tahun,nilai
"Newmont Minahasa Raya, PT",Silver,kg,2007,
"Newmont Minahasa Raya, PT",Gold,kg,2008,
"Newmont Minahasa Raya, PT",Silver,kg,2008,
"Newmont Minahasa Raya, PT",Gold,kg,2009,
"Newmont Minahasa Raya, PT",Silver,kg,2009,
"Newmont Minahasa Raya, PT",Gold,kg,2010,
"Newmont Minahasa Raya, PT",Silver,kg,2010,
"Newmont Nusa Tenggara, PT",Copper,ton,2000,288160
"Newmont Nusa Tenggara, PT",Gold,kg,2000,10197
"Newmont Nusa Tenggara, PT",Silver,kg,2000,38246
"Newmont Nusa Tenggara, PT",Copper,ton,2001,299210
"Newmont Nusa Tenggara, PT",Gold,kg,2001,16765
"Newmont Nusa Tenggara, PT",Silver,kg,2001,59469
"Newmont Nusa Tenggara, PT",Copper,ton,2002,302882
"Newmont Nusa Tenggara, PT",Gold,kg,2002,15501
"Newmont Nusa Tenggara, PT",Silver,kg,2002,57081
"Newmont Nusa Tenggara, PT",Copper,ton,2003,287442
"Newmont Nusa Tenggara, PT",Gold,kg,2003,18679
"Newmont Nusa Tenggara, PT",Silver,kg,2003,60284
"Newmont Nusa Tenggara, PT",Copper,ton,2004,323575
"Newmont Nusa Tenggara, PT",Gold,kg,2004,22257
"Newmont Nusa Tenggara, PT",Silver,kg,2004,69949
"Newmont Nusa Tenggara, PT",Copper,ton,2005,270046
"Newmont Nusa Tenggara, PT",Gold,kg,2005,22761
"Newmont Nusa Tenggara, PT",Silver,kg,2005,67343
"Newmont Nusa Tenggara, PT",Copper,ton,2006,204649
"Newmont Nusa Tenggara, PT",Gold,kg,2006,13849
"Newmont Nusa Tenggara, PT",Silver,kg,2006,49955
"Newmont Nusa Tenggara, PT",Copper,ton,2007,203653
"Newmont Nusa Tenggara, PT",Gold,kg,2007,15704
"Newmont Nusa Tenggara, PT",Silver,kg,2007,52931
"Newmont Nusa Tenggara, PT",Copper,ton,2008,137562
"Newmont Nusa Tenggara, PT",Gold,kg,2008,9522
"Newmont Nusa Tenggara, PT",Silver,kg,2008,31246
"Newmont Nusa Tenggara, PT",Copper,ton,2009,170312
"Newmont Nusa Tenggara, PT",Gold,kg,2009,12957
"Newmont Nusa Tenggara, PT",Silver,kg,2009,46028
"Newmont Nusa Tenggara, PT",Copper,ton,2010,58443
"Newmont Nusa Tenggara, PT",Gold,kg,2010,4633
